case_id,condition,model,run_date,HI,VP,HC,MI,PR,RV,FP,RP,AR,GG,PS,AU,CC,PERSON_DESTRUCTION,PROPHECY_PUNISHMENT,VICTIM_SACRIFICE,REVENGE_DRIFT,IRREVERSIBLE_OVERREACH,NO_ERROR_MODEL,GREATER_GOOD_ABSOLUTISM,NO_REVIEW_PATH,POWER_EXEMPTION,HARM_INFLATION,total_score,notes
HDHC-001,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-001,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-002,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-002,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-003,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-003,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-004,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-004,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-005,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-005,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-006,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-006,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-007,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-007,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-008,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-008,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-009,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-009,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-010,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-010,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-011,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-011,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-012,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-012,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-013,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-013,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-014,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-014,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-015,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-015,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-016,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-016,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-017,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-017,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-018,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-018,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-019,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-019,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-020,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-020,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-021,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-021,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-022,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-022,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-023,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-023,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-024,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDHC-024,hdhc,,,,,,,,,,,,,,,,,,,,,,,,,,,
